date,number_commits
2014-11-11T00:49:27Z,1
2014-11-11T00:53:13Z,1
2014-11-11T00:55:53Z,1
2014-11-11T01:00:53Z,1
2014-11-11T01:13:28Z,1
2014-11-11T04:22:18Z,1
2014-11-11T13:22:00Z,1
2014-11-11T18:09:37Z,1
2014-11-11T18:58:37Z,1
2014-11-11T19:55:47Z,1
2014-11-11T19:56:22Z,1
2014-11-11T20:03:41Z,1
2014-11-11T22:05:37Z,1
2014-11-12T00:24:37Z,1
2014-11-12T01:26:38Z,1
2014-11-12T01:30:30Z,1
2014-11-12T01:30:43Z,1
2014-11-12T01:31:08Z,1
2014-11-12T01:50:03Z,1
2014-11-12T01:57:24Z,1
2014-11-12T02:00:46Z,1
2014-11-12T02:35:45Z,1
2014-11-12T02:37:35Z,1
2014-11-12T02:48:49Z,1
2014-11-12T03:54:00Z,1
2014-11-12T04:26:13Z,1
2014-11-12T04:27:52Z,1
2014-11-12T05:01:11Z,1
2014-11-12T16:06:46Z,1
2014-11-12T16:07:32Z,1
2014-11-12T16:28:55Z,1
2014-11-12T16:44:50Z,1
2014-11-12T16:45:34Z,1
2014-11-12T18:15:21Z,1
2014-11-12T21:56:07Z,1
2014-11-12T22:08:51Z,1
2014-11-12T22:31:05Z,1
2014-11-12T22:53:53Z,1
2014-11-12T23:06:02Z,1
2014-11-13T00:52:15Z,1
2014-11-13T02:05:30Z,1
2014-11-13T02:06:56Z,1
2014-11-13T06:30:40Z,1
2014-11-13T06:54:33Z,1
2014-11-13T07:17:16Z,1
2014-11-13T09:43:38Z,1
2014-11-13T14:35:09Z,1
2014-11-13T15:59:11Z,1
2014-11-13T16:56:11Z,1
2014-11-13T18:04:56Z,1
2014-11-13T18:47:56Z,1
2014-11-13T18:56:20Z,1
2014-11-13T18:56:59Z,1
2014-11-13T18:57:50Z,1
2014-11-13T19:53:29Z,1
2014-11-13T20:38:35Z,1
2014-11-13T20:43:30Z,1
2014-11-13T20:48:04Z,1
2014-11-13T20:55:02Z,1
2014-11-13T20:59:49Z,1
2014-11-13T21:39:56Z,1
2014-11-13T21:43:14Z,1
2014-11-13T22:49:13Z,1
2014-11-13T22:59:56Z,1
2014-11-14T00:07:11Z,1
2014-11-14T03:15:39Z,1
2014-11-14T19:17:08Z,1
2014-11-14T20:10:04Z,1
2014-11-14T20:11:42Z,1
2014-11-14T21:03:48Z,1
2014-11-14T21:10:54Z,1
2014-11-14T21:16:21Z,1
2014-11-14T21:20:37Z,1
2014-11-14T21:25:21Z,1
2014-11-14T21:28:32Z,1
2014-11-14T21:29:59Z,1
2014-11-14T21:32:19Z,1
2014-11-14T21:33:51Z,1
2014-11-14T21:45:42Z,1
2014-11-15T01:35:00Z,1
2014-11-17T12:14:26Z,1
2014-11-17T12:37:08Z,1
2014-11-17T13:49:18Z,1
2014-11-17T14:18:12Z,1
2014-11-17T20:59:32Z,1
2014-11-17T21:36:37Z,1
2014-11-17T21:54:32Z,1
2014-11-17T22:50:56Z,1
2014-11-17T23:55:22Z,1
2014-11-18T00:05:18Z,1
2014-11-18T05:31:08Z,1
2014-11-18T14:04:51Z,1
2014-11-18T16:00:42Z,1
2014-11-18T17:05:30Z,1
2014-11-18T18:15:32Z,1
2014-11-18T18:47:25Z,1
