timestamp,project,commits_per_14days
2009-07-10,hadoop,107
2009-07-24,hadoop,89
2009-08-07,hadoop,64
2009-08-21,hadoop,96
2009-09-04,hadoop,103
2009-09-18,hadoop,101
2009-10-02,hadoop,65
2009-10-16,hadoop,100
2009-10-30,hadoop,62
2009-11-13,hadoop,67
2009-11-27,hadoop,60
2009-12-11,hadoop,74
2009-12-25,hadoop,50
2010-01-08,hadoop,71
2010-01-22,hadoop,51
2010-02-05,hadoop,73
2010-02-19,hadoop,78
2010-03-05,hadoop,59
2010-03-19,hadoop,65
2010-04-02,hadoop,50
2010-04-16,hadoop,72
2010-04-30,hadoop,58
2010-05-14,hadoop,117
2010-05-28,hadoop,100
2010-06-11,hadoop,118
2010-06-25,hadoop,38
2010-07-09,hadoop,76
2010-07-23,hadoop,72
2010-08-06,hadoop,40
2010-08-20,hadoop,44
2010-09-03,hadoop,54
2010-09-17,hadoop,78
2010-10-01,hadoop,89
2010-10-15,hadoop,75
2010-10-29,hadoop,119
2010-11-12,hadoop,66
2010-11-26,hadoop,93
2010-12-10,hadoop,60
